BUSINESS DATE,VOLUME
10/5/2018,2522.649442
10/8/2018,5662.139635
10/9/2018,2058.028962
10/10/2018,2208.349259
10/11/2018,3400.970349
10/12/2018,2221.826172
10/15/2018,2105.864195
10/16/2018,2556.232158
10/17/2018,2423.800215
10/18/2018,3545.400085
10/19/2018,4276.869829
10/22/2018,3973.624175
10/23/2018,2992.178632
10/24/2018,2950.321149
10/25/2018,2535.740806
10/26/2018,6386.469628
10/29/2018,2956.013179
10/30/2018,2424.910571
10/31/2018,2346.002509
11/1/2018,2263.714622
11/2/2018,4126.319109
11/5/2018,1695.408419
11/6/2018,1615.849686
11/7/2018,1910.21206
11/8/2018,2045.161431
11/9/2018,1956.674989
11/12/2018,1980.389556
11/13/2018,2085.347542
11/14/2018,2605.409543
11/15/2018,6730.133955
11/16/2018,2741.743664
11/19/2018,2484.831391
11/20/2018,2650.889311
11/21/2018,2172.921104
11/22/2018,3314.599038
11/23/2018,1718.095261
11/26/2018,3727.210196
11/27/2018,2251.900971
11/28/2018,1880.119863
11/29/2018,2540.020454
11/30/2018,3940.064219
12/3/2018,6940.876496
12/4/2018,2858.629156
12/5/2018,5592.863923
12/6/2018,2963.86237
12/7/2018,2423.078055
12/10/2018,2522.47583
12/11/2018,4566.659047
12/12/2018,2407.365867
12/13/2018,4012.372742
12/14/2018,2176.440714
12/17/2018,2439.097994
12/18/2018,3480.603034
12/19/2018,10119.98413
12/20/2018,3135.309994
12/21/2018,3340.810884
12/24/2018,252.2358854
12/26/2018,171.5784863
12/27/2018,1671.866343
12/28/2018,1399.003291
12/31/2018,215.1809826
1/2/2019,1774.213274
1/3/2019,2433.728818
1/4/2019,2021.565737
1/7/2019,1640.821455
1/8/2019,2171.089871
1/9/2019,2347.027938
1/10/2019,1780.76055
1/11/2019,1879.454307
1/14/2019,1889.680977
1/15/2019,2061.783392
1/16/2019,2149.545683
1/17/2019,1756.433396
1/18/2019,2607.657101
1/21/2019,1912.185649
1/22/2019,1847.806587
1/23/2019,2550.543801
1/24/2019,3321.364109
1/25/2019,2316.982463
1/28/2019,1431.480389
1/29/2019,1365.122097
1/30/2019,1434.716023
1/31/2019,2584.672339
2/1/2019,2526.21441
2/4/2019,1770.82077
2/5/2019,1949.801606
2/6/2019,1995.400647
2/7/2019,2398.394941
2/8/2019,1878.272081
2/11/2019,1871.541343
2/12/2019,1866.801538
2/13/2019,2033.230035
2/14/2019,2598.535121
2/15/2019,2250.356224
2/18/2019,1114.263402
2/19/2019,1818.179512
2/20/2019,1588.864443
2/21/2019,2210.587864
2/22/2019,1706.807699
2/25/2019,1759.679723
2/26/2019,2333.670491
2/27/2019,2429.648514
2/28/2019,2642.030312
3/1/2019,2612.746308
3/4/2019,11191.00567
3/5/2019,4775.828187
3/6/2019,2120.697736
3/7/2019,3078.331471
3/8/2019,3041.840858
3/11/2019,2705.17475
3/12/2019,3730.959007
3/13/2019,4252.840347
3/14/2019,4753.374985
3/15/2019,2666.477472
3/18/2019,1512.444055
3/19/2019,2860.692531
3/20/2019,2070.144316
3/21/2019,2754.139675
3/22/2019,4183.295643
3/25/2019,9904.396324
3/26/2019,2208.854763
3/27/2019,3563.794327
3/28/2019,2554.252452
3/29/2019,2294.940397
4/1/2019,3039.866233
4/2/2019,2364.307117
4/3/2019,3758.139529
4/4/2019,2573.029779
4/5/2019,1885.727061
4/8/2019,1517.973303
4/9/2019,2590.11967
4/10/2019,2317.332747
4/11/2019,1868.582293
4/12/2019,2009.475701
4/15/2019,3178.40737
4/16/2019,7909.511273
4/17/2019,2830.145224
4/18/2019,2780.835795
4/19/2019,65.28539636
4/22/2019,102.8370693
4/23/2019,2592.58292
4/24/2019,2242.660129
4/25/2019,3222.238738
4/26/2019,2117.297862
4/29/2019,2081.634513
4/30/2019,2505.70594
5/1/2019,402.5365864
5/2/2019,4624.649169
5/3/2019,2062.061597
5/6/2019,1352.022783
5/7/2019,4217.917609
5/8/2019,2971.421063
5/9/2019,3382.215168
5/10/2019,3991.264064
5/13/2019,2122.455174
5/14/2019,2867.665806
5/15/2019,8767.945512
5/16/2019,4098.29008
5/17/2019,3114.665494
5/20/2019,2049.880124
5/21/2019,4287.645258
5/22/2019,2038.110275
5/23/2019,2515.463316
5/24/2019,1933.47312
5/27/2019,1532.580925
5/28/2019,2064.698035
5/29/2019,2148.630095
5/30/2019,1618.199685
5/31/2019,3228.774313
6/3/2019,3510.121278
6/4/2019,2584.782044
6/5/2019,3005.836248
6/6/2019,4496.001146
6/7/2019,3115.149723
6/10/2019,1579.008404
6/11/2019,3749.08718
6/12/2019,4923.980727
6/13/2019,1913.016592
6/14/2019,3803.397998
6/17/2019,2692.93362
6/18/2019,4337.3305
6/19/2019,8049.525344
6/20/2019,3436.456941
6/21/2019,3223.002314
6/24/2019,1561.801909
6/25/2019,2089.726963
6/26/2019,1793.920339
6/27/2019,1407.20361
6/28/2019,4024.12281
7/1/2019,1644.606672
7/2/2019,2062.716029
7/3/2019,5213.361092
7/4/2019,1564.568615
7/5/2019,5236.03186
7/8/2019,1520.744202
7/9/2019,1461.540386
7/10/2019,2263.565582
7/11/2019,2108.453837
7/12/2019,2298.984838
7/15/2019,2443.162091
7/16/2019,1570.73915
7/17/2019,2021.052145
7/18/2019,3760.516163
7/19/2019,2174.722342
7/22/2019,1413.608619
7/23/2019,1606.321499
7/24/2019,2413.942638
7/25/2019,3788.805837
7/26/2019,1538.709855
7/29/2019,1113.799524
7/30/2019,2060.785943
7/31/2019,1861.41181
8/1/2019,2664.275595
8/2/2019,3264.861463
8/5/2019,2620.283976
8/6/2019,2270.964132
8/7/2019,5028.603999
8/8/2019,2142.536854
8/9/2019,1878.826809
8/12/2019,1793.041025
8/13/2019,3598.011656
8/14/2019,2961.1983
8/15/2019,3445.01335
8/16/2019,3069.290938
8/19/2019,2446.886444
8/20/2019,1864.185282
8/21/2019,2027.722059
8/22/2019,2604.271921
8/23/2019,2143.083657
8/26/2019,1333.852383
8/27/2019,1683.292626
8/28/2019,2117.932822
8/29/2019,1998.642581
8/30/2019,3243.577956
9/2/2019,1300.89352
9/3/2019,2504.149817
9/4/2019,2326.584895
9/5/2019,2557.775702
9/6/2019,1827.732991
9/9/2019,4316.036113
9/10/2019,2347.527768
9/11/2019,2617.34689
9/12/2019,3580.337095
9/13/2019,3313.374333
9/16/2019,3054.826666
9/17/2019,3089.545923
9/18/2019,2488.612587
9/19/2019,2708.334071
9/20/2019,2411.261271
9/23/2019,1589.538741
9/24/2019,4349.759935
9/25/2019,1732.377256
9/26/2019,1387.227312
9/27/2019,1682.153712
9/30/2019,1120.95962
10/1/2019,1833.630064
10/2/2019,2110.521125
10/3/2019,2670.911064
10/4/2019,2068.36489
10/7/2019,1544.203457
10/8/2019,1451.580823
10/9/2019,1440.869091
10/10/2019,2577.652093
10/11/2019,3264.722092
10/14/2019,1592.156348
10/15/2019,2291.331719
10/16/2019,2487.906735
10/17/2019,3287.558696
10/18/2019,2789.22568
10/21/2019,2689.138886
10/22/2019,1966.073022
10/23/2019,1882.993474
10/24/2019,3378.241481
10/25/2019,2660.398802
10/28/2019,1688.384306
10/29/2019,2417.282829
10/30/2019,1751.910814
10/31/2019,2218.466108
11/1/2019,2078.235411
11/4/2019,5240.974908
11/5/2019,2076.106074
11/6/2019,2850.554318
11/7/2019,3105.641198
11/8/2019,2387.031481
11/11/2019,1321.314508
11/12/2019,2311.516196
11/13/2019,2396.655798
11/14/2019,1636.297483
11/15/2019,1830.04757
11/18/2019,2249.783714
11/19/2019,1574.830783
11/20/2019,2173.319217
11/21/2019,1609.199895
11/22/2019,1861.96021
11/25/2019,1143.535928
11/26/2019,1844.329002
11/27/2019,1357.102726
11/28/2019,940.416049
11/29/2019,2026.200274
12/2/2019,2716.955168
12/3/2019,2665.327918
12/4/2019,2121.881361
12/5/2019,2293.721317
12/6/2019,1625.890158
12/9/2019,1453.126253
12/10/2019,1831.226024
12/11/2019,1705.356516
12/12/2019,2801.251674
12/13/2019,7602.63939
12/16/2019,2824.129756
12/17/2019,5661.781395
12/18/2019,3122.602443
12/19/2019,7661.701953
12/20/2019,2963.764072
12/23/2019,1458.084698
12/24/2019,151.6785967
12/26/2019,101.1949175
12/27/2019,1012.628855
12/30/2019,1179.704897
12/31/2019,215.7129686
1/2/2020,1590.894246
1/3/2020,1878.806479
1/6/2020,1662.79545
1/7/2020,3288.31441
1/8/2020,2098.026692
1/9/2020,2356.776035
1/10/2020,1802.46046
1/13/2020,2002.80963
1/14/2020,2824.558891
1/15/2020,5593.701425
1/16/2020,2203.289176
1/17/2020,2920.864134
1/20/2020,2430.875748
1/21/2020,3267.579028
1/22/2020,3161.54696
1/23/2020,3773.353095
1/24/2020,2344.051707
1/27/2020,3090.775012
1/28/2020,2718.047931
1/29/2020,2505.554579
1/30/2020,3362.998542
1/31/2020,3027.120818
2/3/2020,2092.397276
2/4/2020,2324.437574
2/5/2020,5840.27762
2/6/2020,4646.422669
2/7/2020,2418.237883
2/10/2020,1575.500593
2/11/2020,2900.077814
2/12/2020,3495.458938
2/13/2020,2677.267384
2/14/2020,1794.951854
2/17/2020,1940.847546
2/18/2020,4114.897129
2/19/2020,1927.021406
