Date,USD
9/15/2016,1.1254
9/14/2016,1.1218
9/13/2016,1.1247
9/12/2016,1.1226
9/9/2016,1.1268
9/8/2016,1.1296
9/7/2016,1.1237
9/6/2016,1.1159
9/5/2016,1.1156
9/2/2016,1.1193
9/1/2016,1.1146
8/31/2016,1.1132
8/30/2016,1.1168
8/29/2016,1.117
8/26/2016,1.129
8/25/2016,1.129
8/24/2016,1.1268
8/23/2016,1.1339
8/22/2016,1.1306
8/19/2016,1.1326
8/18/2016,1.1321
8/17/2016,1.1276
8/16/2016,1.1295
8/15/2016,1.118
8/12/2016,1.1158
8/11/2016,1.1153
8/10/2016,1.1184
8/9/2016,1.1078
8/8/2016,1.1087
8/5/2016,1.1156
8/4/2016,1.1136
8/3/2016,1.12
8/2/2016,1.1193
8/1/2016,1.1164
